Entity,Code,Year,Solar and wind (TWh - equivalent)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.005913972
Africa,,1994,0.015967749
Africa,,1995,0.018629028
Africa,,1996,0.020994611
Africa,,1997,0.021290332
Africa,,1998,0.02247311
Africa,,1999,0.058548413
Africa,,2000,0.554261
Africa,,2001,1.264835
Africa,,2002,1.343784
Africa,,2003,1.6114781
Africa,,2004,2.2847102
Africa,,2005,2.3186939
Africa,,2006,2.533769
Africa,,2007,3.0162308
Africa,,2008,3.890334
Africa,,2009,4.7058663
Africa,,2010,6.9407077
Africa,,2011,8.244497
Africa,,2012,9.619503
Africa,,2013,11.944837
Africa,,2014,18.871746
Africa,,2015,33.719055
Africa,,2016,44.159065
Africa,,2017,54.73654
Africa,,2018,61.236763
Africa,,2019,80.173676
Africa,,2020,90.33206
Africa,,2021,106.46219
Africa,,2022,109.69582
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.005913972
Africa (EI),,1994,0.015967749
Africa (EI),,1995,0.018629028
Africa (EI),,1996,0.020994611
Africa (EI),,1997,0.021290332
Africa (EI),,1998,0.02247311
Africa (EI),,1999,0.05854833
Africa (EI),,2000,0.5542611
Africa (EI),,2001,1.2648354
Africa (EI),,2002,1.3437839
Africa (EI),,2003,1.6114781
Africa (EI),,2004,2.2847104
Africa (EI),,2005,2.3186939
Africa (EI),,2006,2.5337691
Africa (EI),,2007,3.0162308
Africa (EI),,2008,3.8903341
Africa (EI),,2009,4.7058663
Africa (EI),,2010,6.9407067
Africa (EI),,2011,8.244496
Africa (EI),,2012,9.619503
Africa (EI),,2013,11.944837
Africa (EI),,2014,18.871746
Africa (EI),,2015,33.719055
Africa (EI),,2016,44.15907
Africa (EI),,2017,54.73654
Africa (EI),,2018,61.236763
Africa (EI),,2019,80.173676
Africa (EI),,2020,90.332054
Africa (EI),,2021,106.46219
Africa (EI),,2022,109.69583
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.025257777
Algeria,DZA,2011,0.049983334
Algeria,DZA,2012,0.07327278
Algeria,DZA,2013,0.077946946
Algeria,DZA,2014,0.16525492
Algeria,DZA,2015,0.20735888
Algeria,DZA,2016,0.7068772
Algeria,DZA,2017,1.3918546
Algeria,DZA,2018,1.6218308
Algeria,DZA,2019,1.6474828
Algeria,DZA,2020,1.8192304
Algeria,DZA,2021,1.7649484
Algeria,DZA,2022,1.8048412
Angola,AGO,1965,0
Angola,AGO,1966,0
Angola,AGO,1967,0
Angola,AGO,1968,0
Angola,AGO,1969,0
Angola,AGO,1970,0
Angola,AGO,1971,0
Angola,AGO,1972,0
Angola,AGO,1973,0
Angola,AGO,1974,0
Angola,AGO,1975,0
Angola,AGO,1976,0
Angola,AGO,1977,0
Angola,AGO,1978,0
Angola,AGO,1979,0
Angola,AGO,1980,0
Angola,AGO,1981,0
Angola,AGO,1982,0
Angola,AGO,1983,0
Angola,AGO,1984,0
Angola,AGO,1985,0
Angola,AGO,1986,0
Angola,AGO,1987,0
Angola,AGO,1988,0
Angola,AGO,1989,0
Angola,AGO,1990,0
Angola,AGO,1991,0
Angola,AGO,1992,0
Angola,AGO,1993,0
Angola,AGO,1994,0
Angola,AGO,1995,0
Angola,AGO,1996,0
Angola,AGO,1997,0
Angola,AGO,1998,0
Angola,AGO,1999,0
Angola,AGO,2000,0
Angola,AGO,2001,0
Angola,AGO,2002,0
Angola,AGO,2003,0
Angola,AGO,2004,0
Angola,AGO,2005,0
Angola,AGO,2006,0
Angola,AGO,2007,0
Angola,AGO,2008,0
Angola,AGO,2009,0
Angola,AGO,2010,0
Angola,AGO,2011,0
Angola,AGO,2012,0
Angola,AGO,2013,0
Angola,AGO,2014,0
Angola,AGO,2015,0
Angola,AGO,2016,0
Angola,AGO,2017,0
Angola,AGO,2018,0
Angola,AGO,2019,0
Angola,AGO,2020,0
Angola,AGO,2021,0
Angola,AGO,2022,0
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.028440276
Argentina,ARG,1997,0.04314833
Argentina,ARG,1998,0.0962736
Argentina,ARG,1999,0.102923825
Argentina,ARG,2000,0.10288562
Argentina,ARG,2001,0.14513856
Argentina,ARG,2002,0.21439412
