Entity,Code,Year,Solar (TWh - equivalent)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.035309397
Africa,,2001,0.043949258
Africa,,2002,0.04903564
Africa,,2003,0.058174383
Africa,,2004,0.07079313
Africa,,2005,0.0841371
Africa,,2006,0.10787505
Africa,,2007,0.14273654
Africa,,2008,0.2041617
Africa,,2009,0.26760218
Africa,,2010,0.5996689
Africa,,2011,1.6609564
Africa,,2012,2.7218072
Africa,,2013,2.1511917
Africa,,2014,5.163514
Africa,,2015,9.722824
Africa,,2016,14.239504
Africa,,2017,18.50974
Africa,,2018,22.178051
Africa,,2019,29.34746
Africa,,2020,40.154903
Africa,,2021,46.85353
Africa,,2022,47.401512
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0
Africa (EI),,1994,0
Africa (EI),,1995,0
Africa (EI),,1996,0
Africa (EI),,1997,0
Africa (EI),,1998,0
Africa (EI),,1999,0
Africa (EI),,2000,0.035309445
Africa (EI),,2001,0.043949444
Africa (EI),,2002,0.049035557
Africa (EI),,2003,0.058174446
Africa (EI),,2004,0.07079333
Africa (EI),,2005,0.08413694
Africa (EI),,2006,0.107875
Africa (EI),,2007,0.14273639
Africa (EI),,2008,0.20416167
Africa (EI),,2009,0.26760194
Africa (EI),,2010,0.59966856
Africa (EI),,2011,1.6609564
Africa (EI),,2012,2.7218072
Africa (EI),,2013,2.1511917
Africa (EI),,2014,5.1635137
Africa (EI),,2015,9.722824
Africa (EI),,2016,14.239504
Africa (EI),,2017,18.509743
Africa (EI),,2018,22.178051
Africa (EI),,2019,29.34746
Africa (EI),,2020,40.154903
Africa (EI),,2021,46.85353
Africa (EI),,2022,47.401516
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.025257777
Algeria,DZA,2011,0.049983334
Algeria,DZA,2012,0.07327278
Algeria,DZA,2013,0.077946946
Algeria,DZA,2014,0.16254583
Algeria,DZA,2015,0.1561925
Algeria,DZA,2016,0.65587413
Algeria,DZA,2017,1.3412902
Algeria,DZA,2018,1.5953735
Algeria,DZA,2019,1.6211231
Algeria,DZA,2020,1.799008
Algeria,DZA,2021,1.7374732
Algeria,DZA,2022,1.7774663
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.00005026889
Argentina,ARG,1999,0.00007688166
Argentina,ARG,2000,0.00010645166
Argentina,ARG,2001,0.000126325
Argentina,ARG,2002,0.00013718527
Argentina,ARG,2003,0.00018850806
Argentina,ARG,2004,0.00020171555
Argentina,ARG,2005,0.00023193638
Argentina,ARG,2006,0.00025608638
Argentina,ARG,2007,0.00030792778
Argentina,ARG,2008,0.00040380552
Argentina,ARG,2009,0.00021248082
Argentina,ARG,2010,0.00023839444
Argentina,ARG,2011,0.004452472
Argentina,ARG,2012,0.022409748
Argentina,ARG,2013,0.041083056
Argentina,ARG,2014,0.043193888
Argentina,ARG,2015,0.03954083
Argentina,ARG,2016,0.038209442
Argentina,ARG,2017,0.043690275
Argentina,ARG,2018,0.2860825
Argentina,ARG,2019,2.1079817
Argentina,ARG,2020,3.5306728
Argentina,ARG,2021,5.763542
Argentina,ARG,2022,7.658984
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.011827972
Asia,,1991,0.011827972
Asia,,1992,0.045833275
Asia,,1993,0.084274136
Asia,,1994,0.1064517
Asia,,1995,0.14640085
Asia,,1996,0.21456084
Asia,,1997,0.34409136
Asia,,1998,0.49475983
Asia,,1999,0.7264335
Asia,,2000,1.128829
Asia,,2001,1.6286256
Asia,,2002,2.249915
Asia,,2003,3.0549488
Asia,,2004,4.007963
Asia,,2005,5.0639973
Asia,,2006,6.242032
Asia,,2007,7.4404664
Asia,,2008,8.967487
Asia,,2009,11.51467
Asia,,2010,16.258839
Asia,,2011,28.539404
Asia,,2012,42.711147
Asia,,2013,79.66127
Asia,,2014,160.74902
Asia,,2015,246.3561
Asia,,2016,370.0739
Asia,,2017,579.48773
Asia,,2018,822.4198
Asia,,2019,1032.6302
Asia,,2020,1233.8334
Asia,,2021,1556.135
Asia,,2022,1944.5848
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
Asia Pacific (EI),,1986,0
Asia Pacific (EI),,1987,0
Asia Pacific (EI),,1988,0
Asia Pacific (EI),,1989,0
Asia Pacific (EI),,1990,0.011827944
Asia Pacific (EI),,1991,0.02794361
Asia Pacific (EI),,1992,0.08161277
Asia Pacific (EI),,1993,0.1274461
Asia Pacific (EI),,1994,0.15790333
Asia Pacific (EI),,1995,0.2089411
Asia Pacific (EI),,1996,0.29025972
Asia Pacific (EI),,1997,0.43472302
Asia Pacific (EI),,1998,0.6000289
Asia Pacific (EI),,1999,0.8464872
Asia Pacific (EI),,2000,1.2670684
Asia Pacific (EI),,2001,1.7877069
Asia Pacific (EI),,2002,2.4200828
Asia Pacific (EI),,2003,3.238237
Asia Pacific (EI),,2004,4.218179
Asia Pacific (EI),,2005,5.3046675
Asia Pacific (EI),,2006,6.519174
Asia Pacific (EI),,2007,7.771456
Asia Pacific (EI),,2008,9.358497
Asia Pacific (EI),,2009,12.239552
Asia Pacific (EI),,2010,18.704361
Asia Pacific (EI),,2011,33.556084
Asia Pacific (EI),,2012,48.138897
Asia Pacific (EI),,2013,88.26674
Asia Pacific (EI),,2014,170.58592
Asia Pacific (EI),,2015,257.51294
