Entity,Code,Year,Hydro (TWh - equivalent)
Africa,,1965,41.118813
Africa,,1966,45.862915
Africa,,1967,47.875538
Africa,,1968,56.00047
Africa,,1969,65.3521
Africa,,1970,81.70287
Africa,,1971,76.92131
Africa,,1972,87.62504
Africa,,1973,92.68892
Africa,,1974,105.46715
Africa,,1975,111.53163
Africa,,1976,123.59514
Africa,,1977,135.81085
Africa,,1978,136.92912
Africa,,1979,146.56386
Africa,,1980,142.85742
Africa,,1981,148.41988
Africa,,1982,148.4593
Africa,,1983,133.79536
Africa,,1984,131.55637
Africa,,1985,146.22218
Africa,,1986,151.23631
Africa,,1987,145.05942
Africa,,1988,158.47527
Africa,,1989,166.40814
Africa,,1990,169.30139
Africa,,1991,179.3458
Africa,,1992,171.09227
Africa,,1993,167.60956
Africa,,1994,170.3109
Africa,,1995,176.73593
Africa,,1996,184.26909
Africa,,1997,188.81113
Africa,,1998,197.09778
Africa,,1999,209.0126
Africa,,2000,222.53064
Africa,,2001,237.57632
Africa,,2002,248.17819
Africa,,2003,239.47658
Africa,,2004,251.33615
Africa,,2005,254.37917
Africa,,2006,261.91766
Africa,,2007,269.18546
Africa,,2008,272.4835
Africa,,2009,278.0456
Africa,,2010,298.87427
Africa,,2011,305.47137
Africa,,2012,304.92633
Africa,,2013,320.25552
Africa,,2014,336.39395
Africa,,2015,324.0321
Africa,,2016,312.72516
Africa,,2017,333.38794
Africa,,2018,354.02264
Africa,,2019,364.74646
Africa,,2020,388.30878
Africa,,2021,398.66202
Africa,,2022,408.593
Africa (EI),,1965,41.118813
Africa (EI),,1966,45.86291
Africa (EI),,1967,47.875538
Africa (EI),,1968,56.000465
Africa (EI),,1969,65.35209
Africa (EI),,1970,81.70288
Africa (EI),,1971,76.92132
Africa (EI),,1972,87.625046
Africa (EI),,1973,92.68892
Africa (EI),,1974,105.467155
Africa (EI),,1975,111.53163
Africa (EI),,1976,123.595146
Africa (EI),,1977,135.81087
Africa (EI),,1978,136.92912
Africa (EI),,1979,146.56386
Africa (EI),,1980,142.85742
Africa (EI),,1981,148.41988
Africa (EI),,1982,148.4593
Africa (EI),,1983,133.79536
Africa (EI),,1984,131.55637
Africa (EI),,1985,146.22218
Africa (EI),,1986,151.23631
Africa (EI),,1987,145.05942
Africa (EI),,1988,158.47527
Africa (EI),,1989,166.40816
Africa (EI),,1990,169.3014
Africa (EI),,1991,179.3458
Africa (EI),,1992,171.09227
Africa (EI),,1993,167.60956
Africa (EI),,1994,170.3109
Africa (EI),,1995,176.73593
Africa (EI),,1996,184.26909
Africa (EI),,1997,188.81116
Africa (EI),,1998,197.0978
Africa (EI),,1999,209.01259
Africa (EI),,2000,222.53064
Africa (EI),,2001,237.57631
Africa (EI),,2002,248.17819
Africa (EI),,2003,239.4766
Africa (EI),,2004,251.33614
Africa (EI),,2005,254.37918
Africa (EI),,2006,261.91766
Africa (EI),,2007,269.18546
Africa (EI),,2008,272.4835
Africa (EI),,2009,278.0456
Africa (EI),,2010,298.87427
Africa (EI),,2011,305.47137
Africa (EI),,2012,304.92633
Africa (EI),,2013,320.25552
Africa (EI),,2014,336.39395
Africa (EI),,2015,324.03214
Africa (EI),,2016,312.72516
Africa (EI),,2017,333.38794
Africa (EI),,2018,354.0226
Africa (EI),,2019,364.74643
Africa (EI),,2020,388.30878
Africa (EI),,2021,398.662
Africa (EI),,2022,408.593
Algeria,DZA,1965,1.1827958
Algeria,DZA,1966,1.0497311
Algeria,DZA,1967,1.2123655
Algeria,DZA,1968,1.664785
Algeria,DZA,1969,1.067473
Algeria,DZA,1970,1.7150539
Algeria,DZA,1971,0.97580636
Algeria,DZA,1972,1.4637097
Algeria,DZA,1973,2.2236557
Algeria,DZA,1974,1.4696236
Algeria,DZA,1975,0.9698925
Algeria,DZA,1976,1.1502688
Algeria,DZA,1977,0.79543
Algeria,DZA,1978,0.73924726
Algeria,DZA,1979,0.8604839
Algeria,DZA,1980,0.75994605
Algeria,DZA,1981,1.0822581
Algeria,DZA,1982,1.4163978
Algeria,DZA,1983,0.69489247
Algeria,DZA,1984,1.336559
Algeria,DZA,1985,1.910215
Algeria,DZA,1986,0.73924726
Algeria,DZA,1987,1.4755378
Algeria,DZA,1988,0.5411292
Algeria,DZA,1989,0.6682794
Algeria,DZA,1990,0.39919358
Algeria,DZA,1991,0.86639774
Algeria,DZA,1992,0.58844084
Algeria,DZA,1993,1.0438172
Algeria,DZA,1994,0.49086028
Algeria,DZA,1995,0.57069886
Algeria,DZA,1996,0.39919358
Algeria,DZA,1997,0.22177416
Algeria,DZA,1998,0.6357528
Algeria,DZA,1999,0.6002689
Algeria,DZA,2000,0.1596775
Algeria,DZA,2001,0.2027075
Algeria,DZA,2002,0.16637361
Algeria,DZA,2003,0.76853275
Algeria,DZA,2004,0.72329473
Algeria,DZA,2005,1.5900536
Algeria,DZA,2006,0.61916
Algeria,DZA,2007,0.63904226
Algeria,DZA,2008,0.79524636
Algeria,DZA,2009,0.9551075
Algeria,DZA,2010,0.48017526
Algeria,DZA,2011,1.0427713
Algeria,DZA,2012,1.0666127
Algeria,DZA,2013,0.26981637
Algeria,DZA,2014,0.5228558
Algeria,DZA,2015,0.3904811
Algeria,DZA,2016,0.19274665
Algeria,DZA,2017,0.14903222
Algeria,DZA,2018,0.30955
Algeria,DZA,2019,0.40066776
Algeria,DZA,2020,0.13026388
Algeria,DZA,2021,0.024335083
Algeria,DZA,2022,0.20017584
Argentina,ARG,1965,3.6226556
Argentina,ARG,1966,3.6694174
Argentina,ARG,1967,3.7574391
Argentina,ARG,1968,4.428607
Argentina,ARG,1969,3.971993
Argentina,ARG,1970,4.6044087
Argentina,ARG,1971,4.5719438
Argentina,ARG,1972,4.443309
Argentina,ARG,1973,8.863367
Argentina,ARG,1974,14.769164
Argentina,ARG,1975,15.360892
Argentina,ARG,1976,14.829011
Argentina,ARG,1977,17.052307
Argentina,ARG,1978,22.906666
Argentina,ARG,1979,31.512377
