Entity,Code,Year,Wind (TWh - equivalent)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.005913972
Africa,,1994,0.015967749
Africa,,1995,0.018629028
Africa,,1996,0.020994611
Africa,,1997,0.021290332
Africa,,1998,0.02247311
Africa,,1999,0.058548413
Africa,,2000,0.51895165
Africa,,2001,1.2208858
Africa,,2002,1.2947483
Africa,,2003,1.5533037
Africa,,2004,2.213917
Africa,,2005,2.2345567
Africa,,2006,2.4258938
Africa,,2007,2.8734944
Africa,,2008,3.6861722
Africa,,2009,4.4382644
Africa,,2010,6.3410387
Africa,,2011,6.5835404
Africa,,2012,6.897696
Africa,,2013,9.793645
Africa,,2014,13.708232
Africa,,2015,23.996231
Africa,,2016,29.919563
Africa,,2017,36.2268
Africa,,2018,39.058712
Africa,,2019,50.826218
Africa,,2020,50.177155
Africa,,2021,59.608654
Africa,,2022,62.29431
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0.005913972
Africa (EI),,1994,0.015967749
Africa (EI),,1995,0.018629028
Africa (EI),,1996,0.020994611
Africa (EI),,1997,0.021290332
Africa (EI),,1998,0.02247311
Africa (EI),,1999,0.05854833
Africa (EI),,2000,0.51895165
Africa (EI),,2001,1.2208859
Africa (EI),,2002,1.2947483
Africa (EI),,2003,1.5533036
Africa (EI),,2004,2.213917
Africa (EI),,2005,2.234557
Africa (EI),,2006,2.425894
Africa (EI),,2007,2.8734944
Africa (EI),,2008,3.6861725
Africa (EI),,2009,4.4382644
Africa (EI),,2010,6.341038
Africa (EI),,2011,6.58354
Africa (EI),,2012,6.8976955
Africa (EI),,2013,9.793645
Africa (EI),,2014,13.708232
Africa (EI),,2015,23.996231
Africa (EI),,2016,29.919565
Africa (EI),,2017,36.2268
Africa (EI),,2018,39.058712
Africa (EI),,2019,50.826218
Africa (EI),,2020,50.17715
Africa (EI),,2021,59.608654
Africa (EI),,2022,62.29431
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0027090972
Algeria,DZA,2015,0.05116639
Algeria,DZA,2016,0.051003054
Algeria,DZA,2017,0.050564446
Algeria,DZA,2018,0.026457276
Algeria,DZA,2019,0.02635972
Algeria,DZA,2020,0.020222416
Algeria,DZA,2021,0.027475111
Algeria,DZA,2022,0.027374918
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.028440276
Argentina,ARG,1997,0.04314833
Argentina,ARG,1998,0.09622333
Argentina,ARG,1999,0.10284694
Argentina,ARG,2000,0.102779165
Argentina,ARG,2001,0.14501223
Argentina,ARG,2002,0.21425694
Argentina,ARG,2003,0.22607638
Argentina,ARG,2004,0.20876417
Argentina,ARG,2005,0.20536307
Argentina,ARG,2006,0.19815388
Argentina,ARG,2007,0.17416167
Argentina,ARG,2008,0.117885
Argentina,ARG,2009,0.10285972
Argentina,ARG,2010,0.07036527
Argentina,ARG,2011,0.07335416
Argentina,ARG,2012,1.0141377
Argentina,ARG,2013,1.2355814
Argentina,ARG,2014,1.6782616
Argentina,ARG,2015,1.5978347
Argentina,ARG,2016,1.4653004
Argentina,ARG,2017,1.6275572
Argentina,ARG,2018,3.7377324
Argentina,ARG,2019,13.169229
Argentina,ARG,2020,24.71506
Argentina,ARG,2021,33.85339
Argentina,ARG,2022,36.92865
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.09853655
Asia,,1991,0.3637123
Asia,,1992,0.6528531
Asia,,1993,0.91622543
Asia,,1994,1.70937
Asia,,1995,3.2958343
Asia,,1996,2.88862
Asia,,1997,3.5361347
Asia,,1998,4.3112326
Asia,,1999,6.0019674
Asia,,2000,7.0454373
Asia,,2001,9.402452
Asia,,2002,10.129173
Asia,,2003,13.323996
Asia,,2004,23.48332
Asia,,2005,29.352158
Asia,,2006,45.691483
Asia,,2007,60.313587
Asia,,2008,91.66827
Asia,,2009,141.52357
Asia,,2010,216.39903
Asia,,2011,303.7643
Asia,,2012,395.0644
Asia,,2013,504.18372
Asia,,2014,571.8369
Asia,,2015,648.8327
Asia,,2016,835.9113
Asia,,2017,1040.41
Asia,,2018,1232.154
Asia,,2019,1355.3057
Asia,,2020,1518.7006
Asia,,2021,2056.8257
Asia,,2022,2365.34
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
Asia Pacific (EI),,1986,0
Asia Pacific (EI),,1987,0
Asia Pacific (EI),,1988,0
Asia Pacific (EI),,1989,0
